image,status,predicted_class,confidence,semantic_category,display_color_hint,is_recyclable,action,error
trash102.jpg,UNCERTAIN,trash,0.4823,Manual Verification Required,Yellow / Warning,False,"Confidence (48.2%) is below the initial configurable heuristic threshold (60.0%). Likely 'trash', but visual verification is required before segregation.",
trash111.jpg,CONFIDENT,trash,0.8128,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash134.jpg,UNCERTAIN,cardboard,0.447,Manual Verification Required,Yellow / Warning,True,"Confidence (44.7%) is below the initial configurable heuristic threshold (60.0%). Likely 'cardboard', but visual verification is required before segregation.",
trash136.jpg,CONFIDENT,trash,0.6379,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash137.jpg,CONFIDENT,trash,0.9395,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash18.jpg,CONFIDENT,trash,0.9199,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash23.jpg,CONFIDENT,trash,0.9003,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash42.jpg,CONFIDENT,trash,0.9434,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash44.jpg,CONFIDENT,trash,0.9657,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash53.jpg,UNCERTAIN,glass,0.366,Manual Verification Required,Yellow / Warning,True,"Confidence (36.6%) is below the initial configurable heuristic threshold (60.0%). Likely 'glass', but visual verification is required before segregation.",
trash59.jpg,CONFIDENT,trash,0.922,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash66.jpg,CONFIDENT,trash,0.8456,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash67.jpg,CONFIDENT,trash,0.7179,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash8.jpg,CONFIDENT,trash,0.8335,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash85.jpg,CONFIDENT,trash,0.6247,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash89.jpg,CONFIDENT,trash,0.6874,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash92.jpg,CONFIDENT,cardboard,0.6269,Recyclable,Blue,True,Flatten box to save volume. Ensure dry and free of food/grease contamination.,
trash93.jpg,UNCERTAIN,metal,0.391,Manual Verification Required,Yellow / Warning,True,"Confidence (39.1%) is below the initial configurable heuristic threshold (60.0%). Likely 'metal', but visual verification is required before segregation.",
trash96.jpg,CONFIDENT,trash,0.9391,General / Non-recyclable,Black,False,Residual non-recyclable refuse. Wrap or bag securely to maintain sanitary conditions.,
trash97.jpg,UNCERTAIN,plastic,0.501,Manual Verification Required,Yellow / Warning,True,"Confidence (50.1%) is below the initial configurable heuristic threshold (60.0%). Likely 'plastic', but visual verification is required before segregation.",
